"TIMEOUT","CIRC_ID","STREAM_ID","LAUNCH","STARTED","USED_AT","COMPLETE_MS","COMPLETE_MS_USEDAT","REQUEST_MS","RESPONSE_MS","DATARREQUEST_MS","DATARESPONSE_MS","DATACOMPLETE_MS","TROUGHPUT_KBproSEC_Download","TROUGHPUT_KBproSEC","PATH"
FALSE,98,185,2014-10-21 22:37:52,2014-10-21 22:47:51,2014-10-21 22:47:56,4211.79,4213.49,0.33,233.29,233.37,419.16,4211.79,1286.9430830688,1215.7287316225,"$0A9AA9B40B0D0A0377ADDA41141562C1C62E0BAC, $7489E8EDD0B8B68C8A2CB31D2B56B6572091DA7F, $35961469646A623F9EE03B7B45296527A624AAFD, $7C3A4CFF09C1981D41173CDE2A2ADD4A5CA109FD"
FALSE,99,198,2014-10-21 22:47:52,2014-10-21 22:57:52,2014-10-21 22:58:07,14962.1,14963.79,0.31,322.02,322.13,550.62,14962.1,349.7276099541,342.2050874262,"$F7B886B61A85812772BEB4BD1BED8C0FB5563BBF, $18B160CD5E22BFC345AEE7BA84B7EA45BF457FCA, $D165930932CAD4845BDE5E4B269066A7A385847B, $7C3AE76BB9E9E6E4F2AE9270FD824DF54A944127"
FALSE,103,199,2014-10-21 22:57:52,2014-10-21 23:07:52,2014-10-21 23:08:01,8720.19,8721.94,0.34,288.74,289.3,540.57,8720.19,607.2907895143,587.1660735002,"$13A17A175BD667AE2C281E2C4A69D37E159C37A8, $28F04B33154C6EFF497D793C8E65AF09A7B1427C, $D5D12FCE7F0F03AF87E6A64AF224F630AC78ACCF, $5D30F47A45A80AF4D6AB37C0569AA82E782110DA"
FALSE,104,201,2014-10-21 23:07:53,2014-10-21 23:17:52,2014-10-21 23:18:12,19447.01,19447.95,0.34,295.09,295.75,551.87,19447.01,267.3453474324,263.2841090506,"$12AD30E5D25AA67F519780E2111E611A455FDC89, $030F202056BA760F66047AC51B187DC1739D704C, $593B9C57D81F6A4497F8B6B0F6C07F7E794C488D, $549871C206593DBFF3EBA9F5BCA0231DBEA308B2"
FALSE,105,203,2014-10-21 23:17:53,2014-10-21 23:27:52,2014-10-21 23:28:07,14121.43,14122.35,0.31,308.01,308.09,494.65,14121.43,370.6560845927,362.5773191527,"$C86C538EF0A24E010342F30DBCACC2A7EB7CA833, $4A9E34FE0D8D955A35C91C418866DEBBAF008FE6, $AFD2F05BA30C838C69B6961CC1AEC6D6469EC3BC, $074DDDA9BCEC42821D677903843F849E54C30477"
FALSE,106,206,2014-10-21 23:27:53,2014-10-21 23:37:53,2014-10-21 23:38:04,10784.54,10785.8,0.32,332.74,332.86,630.58,10784.54,489.8731612459,474.767495114,"$1E65F18A8C81CB67C3C975E7849C91A58B680793, $84380A96B503F02D5E3E120296A207EFD0200F50, $AD97A5E2283A155B3B013D9213171A73ACBB9FD3, $C8D44E917E1986DBE4E7FDA10B48B118CD38D973"
FALSE,107,207,2014-10-21 23:37:53,2014-10-21 23:47:53,2014-10-21 23:48:01,7520.9,7522.11,0.31,325.15,325.29,517.57,7520.9,711.5445589872,680.7977306309,"$E4E27D80236B421FAEA25797495B57E36FF9F7C2, $713F59450A2C521CB8C35ACD49E27B0E402CF993, $BDB26EF60A419089CA3AA0891AF1681455285D48, $E1E922A20AF608728824A620BADC6EFC8CB8C2B8"
FALSE,108,209,2014-10-21 23:47:54,2014-10-21 23:57:53,2014-10-21 23:58:07,13234.97,13236,0.33,259.48,260.19,486.91,13234.97,394.6118555841,386.8635957876,"$FB0EC5DA48A3D7BCA8AF5D5D60C892B8A7C20F81, $169019BFFECBBB9A35878BCF4C7AE1FF37AD8452, $BDB26EF60A419089CA3AA0891AF1681455285D48, $2576BFB02654F8C7EE7F8A4E2F746E4D03F67DD5"
FALSE,109,212,2014-10-21 23:57:54,2014-10-22 00:07:54,2014-10-22 00:09:42,107920.85,107921.67,0.31,313.99,314.08,608.78,107920.85,47.5806475893,47.4423117739,"$4F7914F3E00DCCC0C2230AF56FF03B6C85B4F7E1, $BD8F1910817733CE526930FAB27EFCDBAA630518, $40F32747DA9C12CF59B7CAF2EA0FA918528C993B, $4F215EB01DE79196D6E39FCEEBA7ED43C76C3272"
FALSE,110,213,2014-10-22 00:07:54,2014-10-22 00:17:54,2014-10-22 00:18:03,8721.08,8722.47,0.31,232.4,232.5,462.22,8721.08,603.163667571,587.1043820568,"$32EE911D968BE3E016ECA572BB1ED0A9EE43FC2F, $A5DEF08A1D6075453C6CB856B2F1FA4070D67ECF, $FD8A91FE9598919D2A2C2136882CDD2012FD2924, $17A522BC05A0D115FC939B0271B8626AAFB1DDFF"
