"TIMEOUT","CIRC_ID","STREAM_ID","LAUNCH","STARTED","USED_AT","COMPLETE_MS","COMPLETE_MS_USEDAT","REQUEST_MS","RESPONSE_MS","DATARREQUEST_MS","DATARESPONSE_MS","DATACOMPLETE_MS","TROUGHPUT_KBproSEC_Download","TROUGHPUT_KBproSEC","PATH"
FALSE,2,12,2014-10-21 13:59:35,2014-10-21 14:01:33,2014-10-21 14:01:52,19302.36,19305.81,0.33,693.72,694.18,1289.21,19302.36,275.1478087397,265.2570870146,"$4D5FAA22C650CE72CA43A078C40A91ED61461F36, $B6D30CEC9F8FAB676CCD0634DC86412F1BA8F4D2, $6269EC22B7970ACDE4AF09F6ADE67CEB0C7F7964"
FALSE,2,18,2014-10-21 14:10:11,2014-10-21 14:12:09,2014-10-21 14:13:06,56785.68,56782.02,0.31,176.76,176.88,350.08,56785.68,90.4452923509,90.1640719704,"$C21E1593B7BBAC7005AC5FC9579D0B866DC406AF, $5B298D038363E58FD88B8A5C080E592451C43AA1, $F25C171FA03A77BF7923DA1B9CB3E3DCB0395E1A"
FALSE,8,25,2014-10-21 14:20:31,2014-10-21 14:22:09,2014-10-21 14:22:21,11485.47,11481.94,0.31,512.79,512.88,915.03,11485.47,466.6174851439,445.792698972,"$9030DCF419F6E2FBF84F63CBACBA0097B06F557E, $0500226B9BCDCE1DF0B630F732DE13778F4B3B06, $E1E922A20AF608728824A620BADC6EFC8CB8C2B8"
FALSE,11,29,2014-10-21 14:22:09,2014-10-21 14:32:09,2014-10-21 14:32:17,7103.56,7099.92,0.33,184.63,184.73,372.72,7103.56,740.0102591792,720.7995682803,"$3C79699D4FBC37DE1A212D5033B56DAE079AC0EF, $0531321842E518F7CAB8927EE860BE5DEED8EC32, $634C22287C90D239AC4B23C4AB5C9F873D8641B8"
FALSE,15,31,2014-10-21 14:32:09,2014-10-21 14:42:11,2014-10-21 14:42:19,7486.2,7482.67,0.31,322.23,322.31,596.11,7486.2,714.695299118,683.9532200773,"$0522B7D9FBDFA6FDA81DC6B12A8FA0BA1F7084B4, $5BB51E650366D14C95027DB2F1D7A69BC5B00676, $B94BCF746DCA5897C9C74EC3296543CB855D727B"
FALSE,18,33,2014-10-21 14:42:09,2014-10-21 14:52:11,2014-10-21 14:52:24,12185.74,12182.03,0.29,353.25,353.41,568.85,12185.74,432.712448012,420.1731989881,"$8A0ADB8C728619B7610F661B8EA23C492BE24516, $230C0DF5ADA471B94BD1E4DA42AD0C7006B84532, $EDD8C49F8C5725721A6FDD136767B4C562271544"
FALSE,26,37,2014-10-21 15:02:22,2014-10-21 15:06:47,2014-10-21 15:07:38,51007.74,51004.84,0.43,1553.64,1554.09,2904.51,51007.74,103.5313008816,100.3777673454,"$C59F04BA68B5AF409319E662A8426D70B0CF9BC0, $3A6A156A01891A13DFAB19A16D2DBABB84F1869B, $C8D44E917E1986DBE4E7FDA10B48B118CD38D973"
FALSE,27,39,2014-10-21 15:12:42,2014-10-21 15:16:47,2014-10-21 15:17:08,20705.76,20702.14,0.32,416,416.13,840.56,20705.76,252.3455819242,247.2779378378,"$F73B3830B42FEFBA61524A7A3D99CFD83C57E3C9, $CEC49773C9420F8476AB6C31EC7A649E2633E13C, $C1B48F2210CBF1472B50A94A06C5B136644F7466"
FALSE,28,41,2014-10-21 15:16:47,2014-10-21 15:26:47,2014-10-21 15:27:48,60305.67,60301.9,0.32,1061.57,1061.66,4812.83,60305.67,86.4222405531,84.9012634247,"$F73B3830B42FEFBA61524A7A3D99CFD83C57E3C9, $C2129A90E6C9B6D206B9A7A9487A0D53B6C4F688, $598C04D62477527865C4D791853EB92056B3B178"
FALSE,29,43,2014-10-21 15:26:47,2014-10-21 15:36:47,2014-10-21 15:36:58,10135.82,10132.47,0.31,246.48,246.6,483.85,10135.82,517.735411202,505.1544420043,"$4C0E55EFDCBEE8F279706DD1972C9659632B6B38, $E8EEF2DE04EE6E4BD385B454D0AB4D480C96D4E6, $94F400BFAC205F7E99EA2EEBF4D05680EF4E94B9"
