"TIMEOUT","CIRC_ID","STREAM_ID","LAUNCH","STARTED","USED_AT","COMPLETE_MS","COMPLETE_MS_USEDAT","REQUEST_MS","RESPONSE_MS","DATARREQUEST_MS","DATARESPONSE_MS","DATACOMPLETE_MS","TROUGHPUT_KBproSEC_Download","TROUGHPUT_KBproSEC","PATH"
TRUE,2,22,2014-10-21 13:59:35,2014-10-21 14:09:49,2014-10-21 14:09:52,2358.86,3136.36,0.31,403.31,403.8,722.61,2358.86,2618.8493033267,2170.8270479316,"$772C86361E276271665579621815F43311A29DA6, $BDB26EF60A419089CA3AA0891AF1681455285D48, $5D1CB4B3025F4D2810CF12AB7A8DDDD6FC10F139, $40F32747DA9C12CF59B7CAF2EA0FA918528C993B, $51AFBBF8BB72FF106B4256CFC8933EB2E602B269, $F65E0196C94DFFF48AFBF2F5F9E3E19AAE583FD0"
FALSE,9,19,2014-10-21 14:20:27,2014-10-21 14:29:39,2014-10-21 14:30:02,22190.16,22190.26,0.34,596.29,596.39,1191.22,22190.16,237.1054241741,230.7363624669,"$6FC085CAA20A5FFBBC4872C542E91CA9C8119E5B, $3D765C586CCA8B437B7697EA2CE6A51312530AB1, $7332CF5E5CA072CBDE142151AC4674AC520C8AC9, $0B5EBC6EBB43071D6FE72D17A80C82B771DF8BEF, $D047FE0E4A9F32D78F01071EE4F34BB28E9C1475, $AF657ED27ADF08EDB9E4C7EE90DDA5D2C1D46DFC"
FALSE,13,21,2014-10-21 14:29:39,2014-10-21 14:39:41,2014-10-21 14:39:53,11527.82,11527.97,0.31,571.91,571.98,938.42,11527.82,467.3304536246,444.1546600053,"$6FC085CAA20A5FFBBC4872C542E91CA9C8119E5B, $B7EC0C02D7D9F1E31B0C251A6B058880778A0CD1, $B013CA64C82EDC616BB3EC5DBE35BB7344EDFC2A, $5E2975B380F6E908AFB29E0D8D0B967AF73B41C2, $9ADB5B53F5EAE88D7BC42072516927D77FF50DE4, $7FF7CAFEB36BFEA85942D7C55E3E81F26A15DE9E"
FALSE,16,23,2014-10-21 14:39:39,2014-10-21 14:49:41,2014-10-21 14:50:08,26252.16,26252.36,6.05,626.52,626.6,1085.23,26252.16,199.8005036056,195.0764741094,"$58ED9C9C35E433EE58764D62892B4FFD518A3CD0, $4480DC2DF7C55CD0604D1F74C0FE833882819375, $B0AC460656AE3447D590A8ABEDB36D3A15D3D624, $96DAFDCE92BA94E4CC95F8314AE48E272A702FDC, $E3D1A10B487356FA91027D84CCB7E1C90A9D11E6, $93CD9231C260558D77331162A5DC5A4C692F5344"
FALSE,23,28,2014-10-21 14:59:41,2014-10-21 14:59:42,2014-10-21 15:06:47,424884.84,424885.03,0.32,532.78,532.92,928.61,424884.84,12.0654573707,12.0503331111,"$8E65B652226D8E32613E0AE454FD0F5CC2F6379C, $F79EB289E15F60417CE00028E83993DEA30B093E, $C2B5798B2CB63F468BAF0F2192DBEAD71447FDBD, $2D6DF9FCAC3136F4DB96DB575DA54DDBD3A0E78B, $542568BFFC36279CE0CA9D4FF4972330477F85E0, $44B9D9C24E3C04054AE0A47080CC55461A1AC116"
FALSE,30,30,2014-10-21 15:10:02,2014-10-21 15:14:17,2014-10-21 15:14:35,17695.15,17695.33,0.34,563.89,564.38,1044.88,17695.15,298.8773657236,289.3502354605,"$F4263275CF54A6836EE7BD527B1328836A6F06E1, $8844D87E9B038BE3270938F05AF797E1D3C74C0F, $704386F528CD7C31F8A46664A543A8A1513C949D, $6EF3A6D7E9417532613058275ED6DA1A2DA9D9A9, $84380A96B503F02D5E3E120296A207EFD0200F50, $B4F883DB3D478C7AE569C9F6CB766FD58650DC6A"
FALSE,33,41,2014-10-21 15:19:51,2014-10-21 15:24:17,2014-10-21 15:24:33,15391.2,15391.17,0.34,525.52,525.6,1078.94,15391.2,344.4194018064,332.6649953511,"$63C6AB74A5C288C2159DDC783BB00F88AB44427C, $4F66B55234B85E27760FC0D9CAEF1A88AD579468, $067F9C885BDE11E8C86E95CC7EC45D48C22A85B3, $6DE61A6F72C1E5418A66BFED80DFB63E4C77668F, $D1B8AAA98C65F3DF7D8BB3AF881CAEB84A33D8EE, $3A5F08D02A0ED4E2BC09F8C1E886B96C3AECFE49"
FALSE,34,43,2014-10-21 15:24:17,2014-10-21 15:34:17,2014-10-21 15:34:34,16184.71,16184.33,0.33,512.95,513.07,849.99,16184.71,326.704882915,316.3544704148,"$63C6AB74A5C288C2159DDC783BB00F88AB44427C, $9A97AB6D11EBFCEC80788642EA137B3A938F8611, $D07F7D4A35BBD1029CF28AADE21A7BEBE982C300, $432A292C5B118E02CF6BD68B97FA944595CDC497, $E2A1500A28DF34A949B85C1780F99297F78F9232, $29F1020B94BE25E6BE1AD13E93CE19D2131B487C"
FALSE,35,45,2014-10-21 15:34:17,2014-10-21 15:44:18,2014-10-21 15:44:49,30926,30925.65,0.33,267.55,267.69,491.13,30926,167.0019922363,165.5582410308,"$E99B122BAAC1C009E7CE9F3DBBDA5E909A9F198F, $92560144853F886A5FE53D3DF0C82C238DEF88EB, $381AADD94206371B4D48B5EF8DBAB3C8947C688F, $5665A3904C89E22E971305EE8C1997BCA4123C69, $B7D49AECF6C574610819B8006A38700ECE027020, $0824CE7D452B892D12E081D36E7415F85EA9988F"
FALSE,40,50,2014-10-21 16:04:48,2014-10-21 16:12:09,2014-10-21 16:12:35,25829.27,25828.79,0.31,544.35,544.43,988.08,25829.27,202.492876451,198.2271141124,"$5ECD7C1DE182F68E6DA267E7E44CF41066D6C218, $B71CFEB11D541D40D9C6EB74F296BB897AD0903F, $63C1904FFE2DCB48B4F0FE8A4551CF53412EA289, $40F32747DA9C12CF59B7CAF2EA0FA918528C993B, $6324886969AC8522D623889CCBEAC0C3F595BEB5, $F2080DAE31315B15B06CF7D8726957BF0AF426E3"
FALSE,42,52,2014-10-21 16:15:08,2014-10-21 16:22:09,2014-10-21 16:22:30,20515.91,20515.46,0.31,449.18,449.3,938.64,20515.91,255.1501959848,249.5661707145,"$F24979F37C37C9DA193EDADDFB305431CF13C384, $B83DC1558F0D34353BB992EF93AFEAFDB226A73E, $940BE6B177C7621DDB8600C67F779BA495AC9DDD, $11827E1A3E75FC9523E7711773BC9A678446BB80, $8BF22BEA5F854F2BB2E09C71260ADF590D355E36, $43399E60828839E44DEBE462A008BB2A93B539F5"
FALSE,46,54,2014-10-21 16:32:09,2014-10-21 16:32:09,2014-10-21 16:34:15,125216.17,125215.61,0.32,13506.58,13506.68,16457.73,125216.17,45.833171297,40.889393521,"$D9F061CC5EE68CC916586CF8522E73FFB8848C3F, $798918CD09D1A78C8D50B5D03C2BE8A0AC30A755, $60A33BC5F442336B7FB02C0624D957BD94EAEDFA, $9EE6E4C3AE6EE0CCBADB6EFA4F23514D332704F8, $F528DED21EACD2E4E9301EC0AABD370EDCAD2C47, $066E38CB23C3A29208D01A3E76CE5A3F906E3828"
FALSE,49,67,2014-10-21 16:42:31,2014-10-21 16:52:10,2014-10-21 16:52:27,16762.87,16762.48,0.34,358.07,358.61,873.03,16762.87,312.1139553359,305.4431693387,"$ACD889D86E02EDDAB1AFD81F598C0936238DC6D0, $A926B07E4941BF7EB682F75B800D50FE2433F5D5, $A8B8AD71D46D29FBE8F064C739689D493C978735, $FFA72BD683BC2FCF988356E6BEC1E490F313FB07, $0501FE2B7B69B52E58827B31885BFEFFDC1DDD4F, $59106020B434183699C11F68A4541DD56A2D7BEC"
